"","word","freq"
"lula","lula",9052
"lulanojn","lulanojn",1083
"bonner","bonner",841
"entrevista","entrevista",620
"presidente","presidente",585
"bolsonaro","bolsonaro",550
"dilma","dilma",358
"falar","falar",355
"falando","falando",327
"brasil","brasil",296
"cara","cara",296
"governo","governo",294
"fala","fala",293
"agora","agora",254
"globo","globo",254
"bem","bem",248
"jornal","jornal",243
"sobre","sobre",240
"nacional","nacional",228
"amo","amo",217
"silva","silva",207
"jornalnacional","jornalnacional",204
"hoje","hoje",199
"gente","gente",196
"inácio","inácio",189
"️","️",188
"país","país",186
"corrupção","corrupção",181
"votar","votar",178
"lulaoficial","lulaoficial",171
"papai","papai",167
"vou","vou",163
"ladrão","ladrão",157
"deus","deus",151
"luiz","luiz",150
"tudo","tudo",150
"sabe","sabe",149
"vamos","vamos",149
"tão","tão",146
"fazer","fazer",142
"demais","demais",141
"lulanojornalnacional","lulanojornalnacional",139
"pai","pai",138
"homem","homem",136
"nada","nada",136
"aqui","aqui",134
"voto","voto",134
"quero","quero",131
"pergunta","pergunta",129
"assistir","assistir",128
"maior","maior",124
"povo","povo",123
"melhor","melhor",119
"renata","renata",119
"vem","vem",117
"bom","bom",115
"anos","anos",114
"começou","começou",113
"perguntas","perguntas",113
"silêncio","silêncio",110
"falou","falou",109
"candidato","candidato",107
"ciro","ciro",107
"bora","bora",105
"começar","começar",104
"hora","hora",103
"pode","pode",101
"voz","voz",100
"vendo","vendo",99
"ainda","ainda",98
"dia","dia",96
"porra","porra",96
"todos","todos",92
"coisa","coisa",91
"caralho","caralho",90
"roubou","roubou",90
"jato","jato",89
"vote","vote",89
"debate","debate",87
"lindo","lindo",87
"mundo","mundo",87
"todo","todo",87
"contra","contra",85
"coração","coração",85
"lava","lava",85
"voltar","voltar",85
"nunca","nunca",84
"boa","boa",83
"dar","dar",83
"assim","assim",80
"casa","casa",80
"papi","papi",80
"bozo","bozo",79
"dando","dando",79
"sempre","sempre",79
"amor","amor",78
"deu","deu",78
"acho","acho",77
"queria","queria",77
"kkkk","kkkk",76
"turno","turno",76
"“","“",76
"primeiro","primeiro",75
"deve","deve",74
"ganhar","ganhar",73
"assistindo","assistindo",70
"kkkkk","kkkkk",69
"rindo","rindo",69
"oratória","oratória",68
"desse","desse",67
"política","política",67
"diferença","diferença",66
"ouvir","ouvir",65
"pqp","pqp",65
"vivo","vivo",65
"fazendo","fazendo",64
"igual","igual",64
"vão","vão",64
"disse","disse",63
"eleições","eleições",63
"educação","educação",62
"noite","noite",62
"parece","parece",62
"sendo","sendo",62
"vez","vez",62
"lulapresidente","lulapresidente",61
"mal","mal",61
"nessa","nessa",61
"pau","pau",61
"verdade","verdade",61
"lulanoºturno","lulanoºturno",60
"responder","responder",60
"sfmoro","sfmoro",60
"dizer","dizer",59
"minutos","minutos",59
"novo","novo",59
"foda","foda",58
"kkkkkk","kkkkkk",58
"diz","diz",57
"olha","olha",57
"toda","toda",57
"volta","volta",56
"pessoas","pessoas",55
"político","político",55
"porque","porque",55
"sabatina","sabatina",55
"alguém","alguém",54
"dessa","dessa",54
"história","história",54
"poder","poder",54
"jeito","jeito",53
"tempo","tempo",53
"dois","dois",52
"outro","outro",52
"sei","sei",52
"aula","aula",51
"kkkkkkk","kkkkkkk",51
"tanto","tanto",51
"todas","todas",51
"brasileiro","brasileiro",50
"cada","cada",50
"kkkkkkkk","kkkkkkkk",50
"nome","nome",50
"meio","meio",49
"qualquer","qualquer",49
"antes","antes",48
"eita","eita",48
"menos","menos",48
"mim","mim",48
"momento","momento",48
"mãe","mãe",48
"nesse","nesse",48
"simplesmente","simplesmente",48
"chamando","chamando",47
"favor","favor",47
"responde","responde",47
"acabou","acabou",46
"família","família",46
"medo","medo",46
"cima","cima",45
"eleito","eleito",45
"pouco","pouco",45
"vota","vota",45
"show","show",44
"viu","viu",44
"discurso","discurso",43
"precisa","precisa",43
"vontade","vontade",43
"boca","boca",42
"eleicoes","eleicoes",42
"mano","mano",42
"vamo","vamo",42
"deixa","deixa",41
"kkkkkkkkk","kkkkkkkkk",41
"quanto","quanto",41
"tava","tava",41
"agr","agr",40
"certeza","certeza",40
"kkk","kkk",40
"ninguém","ninguém",40
"senhor","senhor",40
"amigos","amigos",39
"ficar","ficar",39
"gritando","gritando",39
"merda","merda",39
"milhões","milhões",39
"mst","mst",39
"tomar","tomar",39
"eleição","eleição",38
"futuro","futuro",38
"gosto","gosto",38
"hein","hein",38
"querendo","querendo",38
"resposta","resposta",38
"william","william",38
"enquanto","enquanto",37
"esperando","esperando",37
"saber","saber",37
"feliz","feliz",36
"indo","indo",36
"lugar","lugar",36
"pessoa","pessoa",36
"estar","estar",35
"gostoso","gostoso",35
"nervoso","nervoso",35
"passou","passou",35
"pior","pior",35
"quase","quase",35
"vergonha","vergonha",35
"causa","causa",34
"deixar","deixar",34
"diferente","diferente",34
"dizendo","dizendo",34
"fica","fica",34
"ganhou","ganhou",34
"grande","grande",34
"puta","puta",34
"sério","sério",34
"amigo","amigo",33
"atrás","atrás",33
"claro","claro",33
"forma","forma",33
"galera","galera",33
"inteligente","inteligente",33
"ladrao","ladrao",33
"macetando","macetando",33
"mesma","mesma",33
"nele","nele",33
"segundo","segundo",33
"🥬","🥬",33
"alckmin","alckmin",32
"andrejanonesadv","andrejanonesadv",32
"ano","ano",32
"cabeça","cabeça",32
"economia","economia",32
"existe","existe",32
"força","força",32
"habla","habla",32
"luis","luis",32
"presidência","presidência",32
"respondendo","respondendo",32
"sigilo","sigilo",32
"vida","vida",32
"colocar","colocar",31
"consegue","consegue",31
"esperança","esperança",31
"inacio","inacio",31
"justiça","justiça",31
